date,bdi_value,bdi_open,bdi_high,bdi_low,bdi_volume,bdi_change_pct,daily_change_pct,rolling_7d_avg,rolling_30d_avg,rolling_90d_avg,above_long_avg,is_spike,is_drop,is_outlier,year,month,quarter,weekday,source,data_type,granularity
2015-01-19,739.0,739.0,739.0,739.0,0.0,-0.27,-0.2699,740.0,744.83,744.83,False,False,False,False,2015,1,1,Monday,investing_bdi_csv,freight_index,daily
2015-01-20,753.0,753.0,753.0,753.0,0.0,1.89,1.8945,746.29,745.46,745.46,False,False,False,False,2015,1,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-01-21,770.0,770.0,770.0,770.0,0.0,2.26,2.2576,753.0,747.21,747.21,False,False,False,False,2015,1,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-01-22,751.0,751.0,751.0,751.0,0.0,-2.47,-2.4675,751.43,747.47,747.47,False,False,False,False,2015,1,1,Thursday,investing_bdi_csv,freight_index,daily
2015-01-23,720.0,720.0,720.0,720.0,0.0,-4.13,-4.1278,746.14,745.75,745.75,False,False,False,False,2015,1,1,Friday,investing_bdi_csv,freight_index,daily
2015-01-26,703.0,703.0,703.0,703.0,0.0,-2.36,-2.3611,739.57,743.24,743.24,False,False,False,False,2015,1,1,Monday,investing_bdi_csv,freight_index,daily
2015-01-27,688.0,688.0,688.0,688.0,0.0,-2.13,-2.1337,732.0,740.17,740.17,False,False,False,False,2015,1,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-01-28,666.0,666.0,666.0,666.0,0.0,-3.2,-3.1977,721.57,736.26,736.26,False,False,False,False,2015,1,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-01-29,632.0,632.0,632.0,632.0,0.0,-5.11,-5.1051,704.29,731.05,731.05,False,False,True,False,2015,1,1,Thursday,investing_bdi_csv,freight_index,daily
2015-01-30,608.0,608.0,608.0,608.0,0.0,-3.8,-3.7975,681.14,725.19,725.19,False,False,False,False,2015,1,1,Friday,investing_bdi_csv,freight_index,daily
2015-02-02,590.0,590.0,590.0,590.0,0.0,-2.96,-2.9605,658.14,719.05,719.05,False,False,False,False,2015,2,1,Monday,investing_bdi_csv,freight_index,daily
2015-02-03,577.0,577.0,577.0,577.0,0.0,-2.2,-2.2034,637.71,712.87,712.87,False,False,False,False,2015,2,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-02-04,569.0,569.0,569.0,569.0,0.0,-1.39,-1.3865,618.57,706.88,706.88,False,False,False,False,2015,2,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-02-05,564.0,564.0,564.0,564.0,0.0,-0.88,-0.8787,600.86,701.16,701.16,False,False,False,False,2015,2,1,Thursday,investing_bdi_csv,freight_index,daily
2015-02-06,559.0,559.0,559.0,559.0,0.0,-0.89,-0.8865,585.57,695.69,695.69,False,False,False,False,2015,2,1,Friday,investing_bdi_csv,freight_index,daily
2015-02-09,554.0,554.0,554.0,554.0,0.0,-0.89,-0.8945,574.43,690.44,690.44,False,False,False,False,2015,2,1,Monday,investing_bdi_csv,freight_index,daily
2015-02-10,556.0,556.0,556.0,556.0,0.0,0.36,0.361,567.0,685.64,685.64,False,False,False,False,2015,2,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-02-11,553.0,553.0,553.0,553.0,0.0,-0.54,-0.5396,561.71,681.07,681.07,False,False,False,False,2015,2,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-02-12,540.0,540.0,540.0,540.0,0.0,-2.35,-2.3508,556.43,676.37,676.37,False,False,False,False,2015,2,1,Thursday,investing_bdi_csv,freight_index,daily
2015-02-13,530.0,530.0,530.0,530.0,0.0,-1.85,-1.8519,550.86,668.33,671.65,False,False,False,False,2015,2,1,Friday,investing_bdi_csv,freight_index,daily
2015-02-16,522.0,522.0,522.0,522.0,0.0,-1.51,-1.5094,544.86,660.37,666.97,False,False,False,False,2015,2,1,Monday,investing_bdi_csv,freight_index,daily
2015-02-17,516.0,516.0,516.0,516.0,0.0,-1.15,-1.1494,538.71,652.3,662.39,False,False,False,False,2015,2,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-02-18,509.0,509.0,509.0,509.0,0.0,-1.36,-1.3566,532.29,644.47,657.88,False,False,False,False,2015,2,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-02-23,512.0,512.0,512.0,512.0,0.0,0.59,0.5894,526.0,637.4,653.71,False,False,False,False,2015,2,1,Monday,investing_bdi_csv,freight_index,daily
2015-02-24,516.0,516.0,516.0,516.0,0.0,0.78,0.7812,520.71,630.97,649.89,False,False,False,False,2015,2,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-02-25,524.0,524.0,524.0,524.0,0.0,1.55,1.5504,518.43,624.33,646.49,False,False,False,False,2015,2,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-02-26,533.0,533.0,533.0,533.0,0.0,1.72,1.7176,518.86,616.7,643.5,False,False,False,False,2015,2,1,Thursday,investing_bdi_csv,freight_index,daily
2015-02-27,540.0,540.0,540.0,540.0,0.0,1.31,1.3133,521.43,609.47,640.85,False,False,False,False,2015,2,1,Friday,investing_bdi_csv,freight_index,daily
2015-03-02,548.0,548.0,548.0,548.0,0.0,1.48,1.4815,526.0,602.77,638.52,False,False,False,False,2015,3,1,Monday,investing_bdi_csv,freight_index,daily
2015-03-03,553.0,553.0,553.0,553.0,0.0,0.91,0.9124,532.29,596.5,636.44,False,False,False,False,2015,3,1,Tuesday,investing_bdi_csv,freight_index,daily
2015-03-04,559.0,559.0,559.0,559.0,0.0,1.08,1.085,539.0,590.5,634.6,False,False,False,False,2015,3,1,Wednesday,investing_bdi_csv,freight_index,daily
2015-03-05,561.0,561.0,561.0,561.0,0.0,0.36,0.3578,545.43,584.1,632.88,False,False,False,False,2015,3,1,Thursday,investing_bdi_csv,freight_index,daily
