year,period,reporter_code,reporter_iso,reporter_country,flow_code,flow_direction,partner_code,partner_iso,partner_country,hs_code,commodity,aggregation_level,is_leaf,transport_mode_code,transport_mode,qty_unit_code,quantity,qty_estimated,net_weight_kg,weight_estimated,cif_value_usd,fob_value_usd,trade_value_usd,is_outlier,trade_balance_usd,decade,source,data_type,granularity,trade_value_trillion,yoy_growth_pct
2015,2015,50,BGD,Bangladesh,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,1521252863.0,,1521252863.0,False,-1515204731.0,2010,un_comtrade,trade_flow,annual,0.0015,
2015,2015,50,BGD,Bangladesh,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,6048132.0,6048132.0,False,-1515204731.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,51,ARM,Armenia,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,88900941.0,,88900941.0,False,-88706363.0,2010,un_comtrade,trade_flow,annual,0.0001,
2015,2015,51,ARM,Armenia,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,194578.0,194578.0,False,-88706363.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,52,BRB,Barbados,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,16063846.0,,16063846.0,False,-16050665.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,52,BRB,Barbados,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,13181.0,13181.0,False,-16050665.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,56,BEL,Belgium,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,1766697708.212,0.0,1766697708.21,False,-1278916001.02,2010,un_comtrade,trade_flow,annual,0.0018,
2015,2015,56,BEL,Belgium,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,True,0.0,487781707.191,487781707.19,False,-1278916001.02,2010,un_comtrade,trade_flow,annual,0.0005,
2015,2015,60,BMU,Bermuda,M,Import,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,1226251.0,,1226251.0,False,-1225278.0,2010,un_comtrade,trade_flow,annual,0.0,
2015,2015,60,BMU,Bermuda,X,Export,0,W00,World,10,Cereals,2,False,0,TOTAL MOT,-1,0.0,False,0.0,False,,973.0,973.0,False,-1225278.0,2010,un_comtrade,trade_flow,annual,0.0,
